,song_id,car,chill,club,dance,gym,happy,morning,night,park,party,relax,running,sad,shower,sleep,summer,train,training,work,workout
0,200756,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,204074,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,204075,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,204076,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4,204082,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,207664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,208864,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,209377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,210125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,211331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,211678,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,211795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,211798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,213130,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,213473,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,213474,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,213539,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
17,213540,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,213542,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,213545,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,214716,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,217336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,217337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,217351,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,218036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,218751,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,218753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,218754,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
28,218833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,219080,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,221613,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
31,221740,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,222453,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,223126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
