song_id,binary_label
207664,1
210125,1
211678,1
211795,1
211798,1
218754,1
226990,1
228670,1
238287,1
249485,1
264598,1
265101,1
283752,1
286554,1
291670,1
291907,1
308582,1
309174,1
313161,1
313635,1
313637,1
313639,1
313640,1
313644,1
364951,1
364962,1
365067,1
365070,1
365137,1
365268,1
521626,1
525717,1
525726,1
525931,1
525939,1
529749,1
532216,1
532268,1
532349,1
532605,1
532768,1
532922,1
534003,1
534462,1
534628,1
534726,1
534730,1
534752,1
534845,1
535339,1
535418,1
535977,1
536408,1
536481,1
536483,1
536484,1
536485,1
536487,1
536488,1
536924,1
536926,1
536929,1
536930,1
536936,1
536979,1
537724,1
538340,1
538954,1
539132,1
539152,1
539620,1
539668,1
539670,1
540175,1
540238,1
540429,1
540432,1
541012,1
541318,1
541322,1
541324,1
541327,1
541377,1
541383,1
541387,1
541393,1
541399,1
541400,1
541402,1
541867,1
542003,1
542021,1
542381,1
545752,1
545753,1
546089,1
546130,1
546372,1
546578,1
546594,1
546790,1
546826,1
548275,1
548342,1
548365,1
548645,1
548673,1
549579,1
549918,1
549924,1
549930,1
549957,1
549995,1
549998,1
550103,1
550104,1
550288,1
550518,1
550854,1
551023,1
551334,1
551509,1
551991,1
552080,1
552137,1
552212,1
552315,1
552619,1
553234,1
553239,1
554446,1
554671,1
554759,1
555643,1
555755,1
555805,1
556031,1
556646,1
557093,1
558397,1
558398,1
558619,1
558769,1
558928,1
558982,1
558985,1
560281,1
560721,1
561683,1
561685,1
561753,1
561785,1
561836,1
562002,1
562455,1
562487,1
563008,1
563927,1
565055,1
565420,1
565477,1
565489,1
565656,1
565661,1
566494,1
566922,1
567649,1
567656,1
567680,1
567965,1
567968,1
569213,1
569217,1
569420,1
569899,1
570239,1
570273,1
570585,1
570650,1
570887,1
571165,1
571243,1
571541,1
572881,1
573059,1
573668,1
573701,1
574668,1
574731,1
574741,1
574984,1
575228,1
575589,1
576423,1
576431,1
576455,1
576524,1
577423,1
577749,1
577902,1
578341,1
578676,1
579089,1
579813,1
580718,1
580936,1
581077,1
581082,1
581085,1
581375,1
581923,1
582185,1
582252,1
582254,1
582418,1
583038,1
584661,1
585343,1
585777,1
586084,1
586087,1
587132,1
587242,1
590781,1
594872,1
595051,1
595070,1
595444,1
595502,1
595913,1
595920,1
596015,1
596017,1
596020,1
596030,1
596039,1
596046,1
596057,1
596462,1
596589,1
597166,1
597856,1
598057,1
598407,1
598671,1
598697,1
599079,1
599099,1
599218,1
599225,1
599423,1
599991,1
600346,1
600433,1
600629,1
600886,1
601013,1
601017,1
601019,1
601389,1
601626,1
602339,1
602353,1
603072,1
603769,1
603946,1
604143,1
604845,1
604954,1
605281,1
605288,1
605313,1
605970,1
606117,1
606611,1
606659,1
607684,1
607985,1
608701,1
608749,1
608891,1
609097,1
609244,1
609370,1
609381,1
609385,1
610476,1
610989,1
611346,1
611510,1
612001,1
612837,1
612839,1
613096,1
614593,1
614693,1
615655,1
615656,1
616158,1
616196,1
619310,1
619538,1
623717,1
623726,1
624575,1
624823,1
624995,1
625038,1
625109,1
625436,1
625643,1
625672,1
625873,1
625939,1
625945,1
626245,1
626417,1
626418,1
626419,1
626546,1
628099,1
628265,1
628266,1
628267,1
628313,1
628518,1
629159,1
629312,1
629335,1
629466,1
629574,1
629596,1
630055,1
631681,1
632018,1
632023,1
632025,1
632228,1
632276,1
632283,1
632284,1
632493,1
633552,1
636220,1
636222,1
660760,1
661747,1
661912,1
661930,1
661981,1
662099,1
662101,1
662103,1
662113,1
662355,1
662368,1
662682,1
662685,1
662729,1
663043,1
663165,1
663451,1
663571,1
663612,1
663626,1
663903,1
664107,1
664178,1
664437,1
664438,1
664440,1
664444,1
664450,1
664456,1
669243,1
669799,1
670897,1
670909,1
671140,1
671270,1
671298,1
671348,1
671366,1
671390,1
672732,1
672770,1
674162,1
674711,1
674958,1
675083,1
675093,1
675175,1
675582,1
675799,1
676171,1
676183,1
676573,1
676576,1
676582,1
676590,1
676838,1
676840,1
676844,1
676847,1
676880,1
676954,1
677219,1
677232,1
677484,1
678044,1
678053,1
678336,1
678372,1
678465,1
678489,1
678894,1
679181,1
679217,1
679548,1
680117,1
680153,1
680371,1
680432,1
680516,1
680518,1
680539,1
680545,1
680554,1
680601,1
680648,1
680660,1
680669,1
682789,1
683147,1
684038,1
684718,1
685405,1
685709,1
685721,1
685982,1
686048,1
686620,1
686800,1
687677,1
687923,1
687988,1
688908,1
689509,1
689564,1
690526,1
690887,1
691219,1
691951,1
693493,1
693498,1
694606,1
694618,1
694629,1
697476,1
698260,1
698274,1
700291,1
700323,1
700383,1
703748,1
705509,1
705531,1
706051,1
706285,1
706840,1
707720,1
707798,1
708037,1
709291,1
714554,1
714870,1
715816,1
715929,1
715954,1
716686,1
716852,1
716887,1
716915,1
717068,1
717358,1
717534,1
719754,1
721780,1
722093,1
722175,1
722589,1
722610,1
722642,1
722656,1
722662,1
723803,1
723836,1
724039,1
724058,1
724838,1
725235,1
725249,1
725254,1
725261,1
725274,1
725320,1
725408,1
725616,1
725837,1
725850,1
725929,1
725950,1
725965,1
725971,1
725976,1
727540,1
727544,1
727720,1
727733,1
728709,1
729058,1
729263,1
730428,1
730470,1
730577,1
732053,1
732214,1
732258,1
732461,1
733262,1
733276,1
734244,1
735181,1
735753,1
735788,1
738297,1
740312,1
741279,1
742397,1
744776,1
745498,1
745507,1
745532,1
749095,1
750460,1
750479,1
751867,1
755650,1
756253,1
756276,1
756303,1
757085,1
757598,1
764172,1
764317,1
764920,1
765424,1
766109,1
767430,1
769964,1
772257,1
773367,1
773430,1
773586,1
774835,1
775117,1
775455,1
776053,1
776220,1
776259,1
777611,1
778429,1
778758,1
778768,1
779994,1
780663,1
782945,1
784321,1
784325,1
784331,1
784340,1
784386,1
785176,1
785192,1
785207,1
785344,1
785938,1
786717,1
786748,1
786778,1
787169,1
787190,1
787220,1
787629,1
787674,1
788457,1
788582,1
788687,1
788974,1
789214,1
789250,1
790980,1
791991,1
793199,1
793226,1
794020,1
797372,1
797384,1
797410,1
797434,1
797521,1
797528,1
800631,1
801671,1
801842,1
807072,1
809174,1
809938,1
810179,1
810793,1
810887,1
811880,1
812715,1
813837,1
814034,1
821216,1
821615,1
822750,1
823129,1
823132,1
823135,1
824983,1
825817,1
825823,1
829150,1
830309,1
830356,1
830571,1
830771,1
830880,1
831109,1
831127,1
831216,1
831294,1
831313,1
831350,1
831351,1
831546,1
832690,1
833954,1
833957,1
833971,1
834370,1
834484,1
834486,1
834986,1
834989,1
835152,1
835210,1
845617,1
845621,1
845622,1
845908,1
845909,1
845910,1
846048,1
846327,1
846353,1
846585,1
847227,1
848798,1
849592,1
849698,1
850423,1
851050,1
851057,1
851063,1
851867,1
852090,1
855863,1
855986,1
856124,1
856630,1
857501,1
857957,1
857962,1
857985,1
857994,1
858008,1
858203,1
858207,1
858211,1
858220,1
858225,1
858233,1
858371,1
858977,1
859034,1
859600,1
859699,1
860155,1
860519,1
860838,1
860840,1
860843,1
861317,1
863103,1
863369,1
863427,1
863766,1
863897,1
863911,1
865463,1
866829,1
866832,1
866837,1
867060,1
867061,1
869086,1
869545,1
869546,1
869547,1
869548,1
869555,1
869731,1
870090,1
870783,1
871385,1
871500,1
872090,1
872637,1
872915,1
873296,1
873321,1
873558,1
876430,1
